"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test case (TC-12)","","0","0","1","0","0"
"","Test case (TC-13)","","0","0","1","0","0"
"","Test case (TC-4)","","0","0","1","0","0"
"","Test case (TC-7)","","0","0","1","0","0"
"","Test case (TC-11)","","0","0","1","0","0"
"","Test case (TC-10)","","0","0","1","0","0"
"","Test case (TC-3)","","0","0","1","0","0"
"","Test case 1 (TC-1)","","0","0","1","0","0"
"","Test case (TC-5)","","0","0","1","0","0"
"","Test case (TC-6)","","0","0","1","0","0"
"","Test case (TC-9)","","1","0","0","0","0"
"","Test case (TC-8)","","0","0","1","0","0"
"","Test case (TC-14)","","0","0","1","0","0"
"","Test case (TC-2)","","0","0","1","0","0"
"","Test case 000 (TC-000)","","0","0","1","0","0"
