"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 11:08:46 UTC 2022","Fri Oct 14 11:08:54 UTC 2022","7862","","Test case (TC-12)","","","","Check button ""See all Pricing"" from header",""
"passed","Fri Oct 14 11:09:04 UTC 2022","Fri Oct 14 11:09:14 UTC 2022","9648","","Test case (TC-13)","","","","Check sms pricing for Kyivstar in Ukraine",""
"passed","Fri Oct 14 11:13:44 UTC 2022","Fri Oct 14 11:13:51 UTC 2022","7226","","Test case (TC-4)","","","","Check the ""Sign up"" button link from header",""
"passed","Fri Oct 14 11:14:40 UTC 2022","Fri Oct 14 11:14:54 UTC 2022","14174","","Test case (TC-7)","","","","Check registration with wrong cred",""
"passed","Fri Oct 14 11:08:29 UTC 2022","Fri Oct 14 11:08:34 UTC 2022","5792","","Test case (TC-11)","","","","Check button ""See all Products"" from header",""
"passed","Fri Oct 14 11:07:12 UTC 2022","Fri Oct 14 11:07:30 UTC 2022","17243","","Test case (TC-10)","","","","Check Twitter link from footer",""
"passed","Fri Oct 14 11:12:47 UTC 2022","Fri Oct 14 11:13:09 UTC 2022","21928","","Test case (TC-3)","","","","Check the footer ""Resources"" block links avalible",""
"passed","Fri Oct 14 11:06:53 UTC 2022","Fri Oct 14 11:07:01 UTC 2022","7417","","Test case 1 (TC-1)","","","","Check the footer LinkedIn link",""
"passed","Fri Oct 14 11:14:04 UTC 2022","Fri Oct 14 11:14:09 UTC 2022","4853","","Test case (TC-5)","","","","Check the ""Sign up"" button link from footer",""
"passed","Fri Oct 14 11:14:22 UTC 2022","Fri Oct 14 11:14:27 UTC 2022","5473","","Test case (TC-6)","","","","Check registration without entering any cred",""
"failed","Fri Oct 14 11:15:25 UTC 2022","Fri Oct 14 11:15:35 UTC 2022","10093","","Test case (TC-9)","","","","Check amount of savings from ""Switch + Save""",""
"passed","Fri Oct 14 11:15:05 UTC 2022","Fri Oct 14 11:15:15 UTC 2022","9786","","Test case (TC-8)","","","","Check link of button ""See our Pricing"" from network page",""
"passed","Fri Oct 14 11:10:09 UTC 2022","Fri Oct 14 11:10:28 UTC 2022","19306","","Test case (TC-14)","","","","Check blog filter by product",""
"passed","Fri Oct 14 11:11:41 UTC 2022","Fri Oct 14 11:11:48 UTC 2022","6532","","Test case (TC-2)","","","","Checking the visibility of the footer ""Company"" menu items",""
"passed","Fri Oct 14 11:06:10 UTC 2022","Fri Oct 14 11:06:25 UTC 2022","14568","","Test case 000 (TC-000)","","","","Visit page ""Support Center"" from footer of main page",""
